DE,QTD,PARA
AUTOMOVEL,29.866,Automóvel
Autom<f3>vel,29.796,Automóvel
CAMIONETA,3.270,Camioneta
Motocicleta,3.204,Moto
CAMINHONET,2.607,Caminhonete
CAMINHONETE,2.258,Caminhonete
Camioneta,2.232,Camioneta
Caminhonete,2.106,Caminhonete
MOTOCICLET,1.960,Moto
MOTOCICLETA,1.840,Moto
UTILITARIO,1.483,Utilitário
Caminh<e3>o Trator,1.273,Outros
-,1.086,Não mapeados
Caminh<e3>o,1.034,Caminhão
null,994,Não mapeados
CAMINHAO,937,Caminhão
Utilit<e1>rio,800,Utilitário
Micro<f4>nibus,595,Ônibus
<d4>nibus,384,Ônibus
S.REBOQUE,302,Outros
CAMINHAO TRATOR,286,Outros
Motoneta,228,Moto
MOTONETA,227,Moto
ONIBUS,161,Ônibus
MICROONIBU,88,Ônibus
MICROONIBUS,62,Ônibus
Reboque,55,Outros
REBOQUE,52,Outros
Semi-Reboque,21,Outros
Ciclomotor,13,Outros
C. TRATOR,10,Outros
SEMI-REBOQUE,4,Outros
TRICICLO,3,Outros
Chassi Plataforma,2,Outros
MOTOR-CASA,2,Outros
Triciclo,2,Outros
Bonde,1,Outros
CICLOMOTOR,1,Outros
MOTOR CASA,1,Outros
Tr Rodas,1,Outros
